index,review,confidence,tags
4687.0,“مابوه شي”. محلوي.,0.998987615,['terse_short_review']
711.0,“فندق مهضوم حقه”. - موقع الفندق وبوفيه الغذاء والافطار .- بوفيه العشاء بمكان جميل ورائع تحذوه الخضره من جميع جوانبه .- مسبحه المطل علي مكان البوفيه .- يوجد ايضا بروجكتر كبير جدا اثناء العشاء ووقت السباحه .- استايل الفندق خرافي من الداجل .- هدوئه الاكثر من رائع .- جلساته ال. - ضعف النت داخل الغرف وكنت بالطابق الثالث .- الخدمه جميله لكنها بطيئه .- شكل الفندق من الخارج لا يوصف جماله من الداخل .,0.998199284,['unclassified']
6463.0,“لاكن انصح بالفندق”. . ازعاج من المباني المجاوره كذالك التعامل في دفع المبالغ الماليه يحاسبونك اول باول كانك بتهرب من الفندق,0.996671557,['positive_title_negative_detail_structure']
1488.0,“جيد”. الموقع فقط. الغرفه من الطراز القديم لايوجد واي فاي بالغرف مجانا,0.996464968,['positive_title_negative_detail_structure']
3213.0,“جيد لرحله العمل ، فقط للنوم”. الواي فاي سريع. غرف ضيقه وحمام اضيق لا يوجد فيه ادوات تنظيف.,0.996385574,['positive_title_negative_detail_structure']
9229.0,“فندق كنانه جده”. نظافه الفندق فقط .. خدماته مقبوله لكن تتاخر الخدمات بالوصول لك كطلب شيء من الخدمات للغرفه وموقعه البعيد عن مواقع الترفيه كالكورنيش وغيره .,0.995730579,['positive_title_negative_detail_structure']
9393.0,“رفه عن نفسك”. . عدم توفر مواقف للسيارات,0.994985819,['terse_short_review']
9360.0,“راخه”. السعر. النت,0.993846595,['terse_short_review']
9732.0,“٧”. المكان من خلل شاليات الدانه مررره جميل والبحر مررره قريب وفيه خصوصيه. المعامله من قبل المواظفين سيئه جدا والخدمات سييئه جدااا وخاصتنا مواظفينالبوابه والمغربي انسان سيئه جدااااا جدااااا معامله لاتدل ع راقيه المكان,0.993523479,['positive_title_negative_detail_structure']
5481.0,“جيد”. الاكل جيد. خدمه الراي فاي معقوله فندق اربع نجوم مافيه واي فاي الا في الاستقبال حتي شقق العاديه فيها واي فاي جميع الغرف. شي سيئ لا يوجد واي فاي تضجرت من عدم وجوده,0.993246555,['positive_title_negative_detail_structure']
4133.0,“تغيير جو”. . الاطلاله صحيح انه علي معبر مائي الا ان هناك تعمير وانشاءات مشوهه المنظر,0.99252373,['unclassified']
6304.0,“جيد”. لاشيء. التكيف الغرفه الي جانبي مزعج جدا,0.991965055,['terse_short_review']
4027.0,“لاباس فيه”. النظافه + طاقم موظفي قسم الطعام. الاستقبال عندهم سيئ جدا لم يهتمو بااستقبال الضيوف والشنط والعفش الضيف هو الذي ينشغل بتحميل امتعته لايوجدعمال لحمل الشنط وامتعه الضيوف + روائح التدخين منتشره في الفندق + بعده عن الحرم والمسافهالمعروضهفي هذا الموقع غيرصحيحه,0.991711855,['positive_title_negative_detail_structure']
