index,review,confidence,tags
5558.0,“لا يوجد”. فقط لقربه من الحرم ومعامله طاقم العمل الممتازه 👍. سجاد الغرفه متسخ الحمام صغير المناشف باليه لا يوجد عازل الصوت بين الغرفه والغرفه التي بجانبها لدرجه اذا عطس جارك ترد عليه رحمك الله ياهذا كانه بجانبك وهذا من السلبيات الكبيره تحياتي .,0.990061045,['positive_title_negative_detail_structure']
9781.0,“اقامت لم تكن جيده في هذه الشقق”. الشباب السعودي بالاستقبال جميعهم بلا استثناء قمه الرقي والاخلاق الحرص منهم علي راحتك وجود المطاعم اسفل الشقق. دوره المياه شبه متهالكه السرير والمخدات سيئهالتلفزيونات,0.990054846,['positive_title_negative_detail_structure']
6518.0,“علي شو ⭐⭐⭐⭐⭐ علي ريحت البواليع الي فالغرف”. . الغرفه صغيره وايد • ريحت بواليع وانتو بكرامه فالغرف • والاكل الحمدلله علي النعمه اي شي • كانو امضيعين سويج الموتر • عالي شو عاطينه ⭐⭐⭐⭐⭐ مادي والله,0.985809863,"['positive_title_negative_detail_structure', 'gulf_dialect_marker', 'levantine_dialect_marker', 'possible_irony_star_rating_vs_text']"
2955.0,“الموظف في الاستقبال سيء في المعامله”. كل شي جميل الا موظف الاستقبال. موظف الاستقبال + ترتيب الغرفه عندما طلبت منهم رفضوا,0.980345666,['unclassified']
7783.0,“اعطني المال ثم اخدمك”. الموقع و الاثاث والنظافه. اولا اخذ عربون.ثانيا لم يكن نفس المبلغ الذي تم عرضه علي الموقع تفاجأت باضافه رسوم اضافيه.ثالثا وصلنا متعبين من السفر قبل موعد الدخول ولم يسمح لنا بدخول الشقه الا بعد اخذ مبلغ نصف يوم مقابل راحتنا انا واطفالي لعدد الساعات المتبقيه.,0.979896426,['positive_title_negative_detail_structure']
6913.0,“اقامه مريحه غير ممتعه جدا”. حداثه المبني. ضيق الغرفالاطلاله كئيبه قله قنوات التلفزيون,0.979813457,['positive_title_negative_detail_structure']
5569.0,“ستكون لي خيارات اخري افضل منه”. مستوي الفندق كاعداد جيد و تصميمه جميل و غرفه مناسبه الاتساع و الاثاث جديد و جميل. الافطار كان سيء و باب النافذه متعطل القفل به و مقبض السلامه مكسور و خطر جدا علي الاطفال اعاده ترتيب الغرفه سيء و لا يتم اعاده ملئ الخدمات المجانيه كامله,0.974344015,['unclassified']
9088.0,“الموقع المميز”. الموقع مميز بالقرب من محطه مترو صلاح الدين. طلبت ان تكون غرفتي في الادوار العلويه تفاجات حطوني في الدور الثاني والنادي الليلي في الدور الاول وهذا سبب لي الكثير من الازعاج,0.974171937,['positive_title_negative_detail_structure']
2465.0,“القصيم”. اعجبني السعه في الغرف ٠النظافه في دورات المياه. السرير غير مريح مطلقا وهذا ما جعلني اغادر الشقه . عدم وجود موكيت او بمعني اصح فرشات بالغرف,0.973056614,['positive_title_negative_detail_structure']
1441.0,“الاحساء - المنطقه الشرقيه”. . نقل الباصات للحرم لم يكن مرتب و لايستجيب السائق في حال تواجدنا بالموعد يلزم عليهم توفير هذه الخدمه باكمل وجه و ارضا الزائر والانترنت متقطع و احيانا لايشبك,0.971170127,['positive_title_negative_detail_structure']
9533.0,“تقييم المكان”. الموقع وسعه الغرفه. مدخل المكان غير لائق تماما بجانب محلات بيع الماكولات السريعه وهو يختلف عن مدخل الهيلتون الاساسي من السوق!! من اكبر السلبيات والتي لم يتم ذكرهابعد الوصول للدور بالمصعد يتوجب صعود درج دور كامل للوصول للغرفه حيث ان المصاعد لا توصلك للغرفه مباشره وهذي سلبيه كبيره وخصوصا لكبار السن ولم يتم ذكره في الموقع!!السعر لا يختلف عن الهلتون الاساسي مع فارق الفخامه والنظافه والخدمات المقدمه في الهلتون الاساسي، وكلاهم في نفس الموقعرايي الشخصي تدفع زياده وتسكن في الهلتون الاساسي افضل بكثير,0.970246673,"['positive_title_negative_detail_structure', 'negation_heavy']"
10047.0,“للموقع عنوان”. الموقع .. وخدمه الاستقبال. نظافه الغرف غير مرضيه . حيث اننا وجدنا بالغرفه بقايا طعام .. من قبل ضيف سابق للغرفه,0.969830394,['positive_title_negative_detail_structure']
